bank_transaction_id,bank_operation_date,bank_amount,bank_ref,bank_payment_class,bank_label,customer_transaction_id,customer_accounting_date,customer_amount,customer_document_number,customer_external_doc_number,customer_payment_type,customer_description,score
76053,2025-05-02,-27927.656,10155432557,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 300425 LCN 10155432557,9599,2025-03-19,27927.656,BEB24000173,10155432557,CLT EFFET,Validation Effet escompté en Banque,75.0
76056,2025-05-02,-39986.6,9914956074,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 300425 LCN 9914956074,9878,2025-05-02,34112.587,EES250000201,10396977107,CLT EFFET,Validation Effet encaissé en Banque,33.333333333333336
76059,2025-05-02,-29415.804,9914985465,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 300425 LCN 9914985465,9855,2025-04-30,4000.0,BEB24000221,10396929965,CLT EFFET,Validation Effet escompté en Banque,31.875
76121,2025-05-05,-18944.856,10396945388,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 020525 LCN 10396945388,9597,2025-03-19,18944.856,BEB24000173,10396945388,CLT EFFET,Validation Effet escompté en Banque,75.0
76183,2025-05-13,-3500.0,10309291144,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 120525 LCN 10309291144,9762,2025-04-14,3500.0,BEB24000207,10309291241,CLT EFFET,Validation Effet escompté en Banque,75.0
76186,2025-05-13,-12205.88,10109489186,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 100525 LCN 10109489186,9944,2025-05-12,16000.0,BEB24000237,10109422935,CLT EFFET,Validation Effet escompté en Banque,34.80263157894737
76205,2025-05-16,-23321.627,10109486761,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 150525 LCN 10109486761,9964,2025-05-13,5000.0,BEB24000242,10396974197,CLT EFFET,Validation Effet escompté en Banque,30.25
76208,2025-05-16,-29415.804,9914982458,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 150525 LCN 9914982458,9967,2025-05-13,17142.858,BEB24000242,10396994955,CLT EFFET,Validation Effet escompté en Banque,30.625
76212,2025-05-19,-18719.325,10109450095,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 160525 LCN 10109450095,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,75.0
76216,2025-05-21,776.523,,CLT EFFET,ANNULATION REMISE EFFET DU 24 03 2025,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,15.0
76223,2025-05-21,-3500.0,10309291241,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 200525 LCN 10309291241,9762,2025-04-14,3500.0,BEB24000207,10309291241,CLT EFFET,Validation Effet escompté en Banque,75.0
76226,2025-05-21,-12205.88,10109489089,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 200525 LCN 10109489089,9965,2025-05-13,5763.632,BEB24000242,10396981278,CLT EFFET,Validation Effet escompté en Banque,23.333333333333336
76235,2025-05-22,-42523.187,10396979629,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 150525 LCN 10396979629,9873,2025-05-02,42523.187,EES250000201,10396979629,CLT EFFET,Validation Effet encaissé en Banque,75.0
76254,2025-05-23,-47043.38,10203887355,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 220525 LCN 10203887355,9139,2025-01-13,47043.38,BEB24000096,10203881244,CLT EFFET,Validation Effet escompté en Banque,75.0
76302,2025-06-02,-29415.803,9914982555,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 300525 LCN 9914982555,10042,2025-06-05,14000.0,BEB24000264,10394858530,CLT EFFET,Validation Effet escompté en Banque,29.583333333333336
76303,2025-06-02,7000.0,,CLT EFFET,PAYEMENT EFFET/ENCAISSEMENT LCN 010309251859,9132,2025-01-13,7000.0,BEB24000096,10309251665,CLT EFFET,Validation Effet escompté en Banque,60.0
76403,2025-06-09,-84320.153,10155448756,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 050625 LCN 10155448756,9600,2025-03-19,84320.153,BEB24000173,10155448756,CLT EFFET,Validation Effet escompté en Banque,75.0
76409,2025-06-09,-39053.083,10155431005,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 050625 LCN 10155431005,9377,2025-02-17,39053.083,BEB24000120,10155431005,CLT EFFET,Validation Effet escompté en Banque,75.0
76412,2025-06-10,-42205.414,10155451181,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 070625 LCN 10155451181,9434,2025-02-25,42205.414,BEB24000151,10155451181,CLT EFFET,Validation Effet escompté en Banque,75.0
